st,ssd_fips,name,sm_name_1
AK,0200A,State Senate District A,00A
AK,0200B,State Senate District B,00B
AK,0200C,State Senate District C,00C
AK,0200D,State Senate District D,00D
AK,0200E,State Senate District E,00E
AK,0200F,State Senate District F,00F
AK,0200G,State Senate District G,00G
AK,0200H,State Senate District H,00H
AK,0200I,State Senate District I,00I
AK,0200J,State Senate District J,00J
AK,0200K,State Senate District K,00K
AK,0200L,State Senate District L,00L
AK,0200M,State Senate District M,00M
AK,0200N,State Senate District N,00N
AK,0200O,State Senate District O,00O
AK,0200P,State Senate District P,00P
AK,0200Q,State Senate District Q,00Q
AK,0200R,State Senate District R,00R
AK,0200S,State Senate District S,00S
AK,0200T,State Senate District T,00T
AL,1001,State Senate District 1,001
AL,1002,State Senate District 2,002
AL,1003,State Senate District 3,003
AL,1004,State Senate District 4,004
AL,1005,State Senate District 5,005
AL,1006,State Senate District 6,006
AL,1007,State Senate District 7,007
AL,1008,State Senate District 8,008
AL,1009,State Senate District 9,009
AL,1010,State Senate District 10,010
AL,1011,State Senate District 11,011
AL,1012,State Senate District 12,012
AL,1013,State Senate District 13,013
AL,1014,State Senate District 14,014
AL,1015,State Senate District 15,015
AL,1016,State Senate District 16,016
AL,1017,State Senate District 17,017
AL,1018,State Senate District 18,018
AL,1019,State Senate District 19,019
AL,1020,State Senate District 20,020
AL,1021,State Senate District 21,021
AL,1022,State Senate District 22,022
AL,1023,State Senate District 23,023
AL,1024,State Senate District 24,024
AL,1025,State Senate District 25,025
AL,1026,State Senate District 26,026
AL,1027,State Senate District 27,027
AL,1028,State Senate District 28,028
AL,1029,State Senate District 29,029
AL,1030,State Senate District 30,030
AL,1031,State Senate District 31,031
AL,1032,State Senate District 32,032
AL,1033,State Senate District 33,033
AL,1034,State Senate District 34,034
AL,1035,State Senate District 35,035
AR,5001,State Senate District 1,001
AR,5002,State Senate District 2,002
AR,5003,State Senate District 3,003
AR,5004,State Senate District 4,004
AR,5005,State Senate District 5,005
AR,5006,State Senate District 6,006
AR,5007,State Senate District 7,007
AR,5008,State Senate District 8,008
AR,5009,State Senate District 9,009
AR,5010,State Senate District 10,010
AR,5011,State Senate District 11,011
AR,5012,State Senate District 12,012
AR,5013,State Senate District 13,013
AR,5014,State Senate District 14,014
AR,5015,State Senate District 15,015
AR,5016,State Senate District 16,016
AR,5017,State Senate District 17,017
AR,5018,State Senate District 18,018
AR,5019,State Senate District 19,019
AR,5020,State Senate District 20,020
AR,5021,State Senate District 21,021
